,hex1_id,hex2_id,bin_depth,x,y,z,roi
22943,19,15,44,20466.14891112423,35588.52506914274,40723.53760725172,LOP_R
22944,19,15,45,20472.0449495504,35575.16601210549,40797.87041306681,LOP_R
22945,19,15,46,20478.07396106702,35561.65557407667,40872.177254007154,LOP_R
22946,19,15,47,20484.230643018644,35548.00449280639,40946.457712775526,LOP_R
22947,19,15,48,20490.50969274983,35534.22350604473,41020.71137207472,LOP_R
22948,19,15,49,20496.905807605122,35523.131007947326,41094.93781460751,LOP_R
22949,19,15,50,20503.413684929088,35512.68429182185,41169.136623076665,LOP_R
22950,19,16,0,20609.390928443565,35868.64623743348,37390.034768619764,LOP_R
22951,19,16,1,20610.862579505683,35859.795166294774,37464.92614786843,LOP_R
22952,19,16,2,20612.311783512665,35850.98027657504,37539.81024880855,LOP_R
22953,19,16,3,20613.543077958184,35842.20785875751,37614.6883775731,LOP_R
22954,19,16,4,20614.925260546854,35833.484203325366,37689.56184029504,LOP_R
22955,19,16,5,20616.307690841597,35824.81560076184,37764.43194310735,LOP_R
22956,19,16,6,20617.691077640913,35816.20834155014,37839.299992142995,LOP_R
22957,19,16,7,20619.076129743302,35807.66871617349,37914.16729353491,LOP_R
22958,19,16,8,20620.464601993088,35799.20301511508,37989.033323400836,LOP_R
22959,19,16,9,20622.600950048283,35790.24877932529,38063.895729138756,LOP_R
22960,19,16,10,20624.86046214725,35780.73104045843,38138.754208437116,LOP_R
22961,19,16,11,20627.392934680553,35770.982345071054,38213.608480995405,LOP_R
22962,19,16,12,20630.018157286646,35761.01111754486,38288.45826651308,LOP_R
22963,19,16,13,20631.848308248696,35750.83168738126,38363.30328468963,LOP_R
22964,19,16,14,20633.65268772642,35740.45838408161,38438.14325522451,LOP_R
22965,19,16,15,20636.0795891307,35729.90553714732,38512.9778978172,LOP_R
22966,19,16,16,20638.151061187713,35719.187476079765,38587.80693216717,LOP_R
22967,19,16,17,20640.800725483885,35708.31853038032,38662.602613500545,LOP_R
22968,19,16,18,20643.497475669377,35697.31302955038,38737.3455311865,LOP_R
22969,19,16,19,20646.232723170247,35687.06182846262,38812.072039624574,LOP_R
22970,19,16,20,20649.090546795782,35677.45316869947,38886.78319084478,LOP_R
22971,19,16,21,20652.135667193008,35667.805421162964,38961.48063694507,LOP_R
22972,19,16,22,20655.466785086737,35658.11050680792,39036.168292223134,LOP_R
22973,19,16,23,20659.088210983005,35648.36034658911,39110.84596513038,LOP_R
22974,19,16,24,20662.96724563938,35638.54686146131,39185.51279035801,LOP_R
22975,19,16,25,20663.326547198507,35628.661972379334,39260.167902597204,LOP_R
22976,19,16,26,20663.772316335755,35618.697600297965,39334.81043653918,LOP_R
22977,19,16,27,20668.22769014697,35608.64592650629,39409.43952687512,LOP_R
22978,19,16,28,20672.8865232253,35598.53205140805,39484.05430829623,LOP_R
22979,19,16,29,20677.72314584292,35588.37638964969,39558.65391549371,LOP_R
22980,19,16,30,20682.711888272006,35578.45430479964,39633.23748315876,LOP_R
22981,19,16,31,20687.827080784737,35568.78289173512,39707.815630487356,LOP_R
22982,19,16,32,20693.04305365329,35559.13239442494,39782.502839497676,LOP_R
22983,19,16,33,20698.334137149854,35549.50637325087,39857.166160870845,LOP_R
22984,19,16,34,20703.674661546593,35539.90838859468,39931.79830112573,LOP_R
22985,19,16,35,20709.03895711569,35530.342000838136,40006.39446831886,LOP_R
22986,19,16,36,20714.401354129324,35521.110591346755,40080.95022015649,LOP_R
22987,19,16,37,20719.736182859673,35511.85280024387,40155.461114344864,LOP_R
22988,19,16,38,20725.01777357892,35502.51641943151,40229.922708590224,LOP_R
22989,19,16,39,20730.22045655923,35493.09330894064,40304.33056059884,LOP_R
22990,19,16,40,20735.318562238215,35483.57356567213,40378.68022807696,LOP_R
22991,19,16,41,20740.362829708054,35473.906203673454,40452.96726873083,LOP_R
22992,19,16,42,20745.479242414756,35464.56542196971,40527.186371677075,LOP_R
22993,19,16,43,20750.681255874155,35455.38145185688,40601.49115003327,LOP_R
22994,19,16,44,20754.779563173164,35446.250405925275,40675.87613868435,LOP_R
22995,19,16,45,20758.843810975006,35437.16758390098,40750.24645325606,LOP_R
22996,19,16,46,20762.91702386304,35428.12828551008,40824.60186401502,LOP_R
